LSLANR;LSLORT;LSTENR;TEBEZ1;TEBEZ2;LSLGBE;TEPDIM;TEINPR;WERT;TEWKSF
F5;51O4-4;3AP0208205015;Zuschnitt        05SWRT340;105112.01,105112.01;1935;3;11,37;22,001;800
F5;W5;3AP0208205016;Zuschnitt        05SWVI532;105112.01,105112.01;84;3;16,56;1,391;500
F5;W5;3AP0208205017;Zuschnitt        05SWGN531;105112.01,907649.01;125;3;16,09;2,0113;500
F5;50O7-4;3AP0208205023;Zuschnitt       K05SWBL044;105112.01,15.00      RI_WS;5118;3;2,28;11,669;5400
F5;W5;3AP0208205034;Zuschnitt        05GRRT532;105112.01,105112.01;86;3;16,56;1,4242;500
F5;51O6-3;3AP0208205083;Zuschnitt        03VIGR502;103360.01,105111.01;2719;3;12,25;33,3078;800
F5;51O6-4;3AP0208205084;Zuschnitt        03VIBR502;103360.01,105111.01;1879;3;12,25;23,0178;800
F5;W5;3AP0208250004;Zuschnitt    B   05WS00481;907649.01,105112.01;100;3;14,74;1,474;600
F5;51O7-3;3AP0208250013;Zuschnitt   B   K05WS00485;907649.01,15.00;1482;3;13,76;20,3923;600
F5;62D4-2;3AP0208250018;Zuschnitt    B   05WS00487;105112.01,907649.01;2289;3;14,9;34,1061;600
F5;51O7-4;3AP0208250019;Zuschnitt   B    03WS00488;907647.01,907647.01;2983;3;11,18;33,3499;900
F5;63D5-3;3AP0208250024;Zuschnitt   B    05WS00487;907649.01,907649.01;4337;3;14,46;62,713;600
F5;63D4-2;3AP0208250027;Zuschnitt   B    05WS00481;907649.01,105112.01;3136;3;14,74;46,2246;600
F5;W5;3AP0208250029;Zuschnitt        05GRSW328;105112.01,105112.01;90;3;11,04;0,9936;800
F5;63D1-2;3AP0208250032;Zuschnitt   B    05WS00482;907649.01,105112.01;3685;3;14,76;54,3906;600
F5;63D5-1;3AP0208250036;Zuschnitt    B   05WS00485;105112.01,907649.01;2987;3;14,85;44,357;600
F5;62D5-3;3AP0208250037;Zuschnitt   B    05WS00486;105112.01,907649.01;2982;3;14,87;44,3423;600
F5;W5;3AP0208250039;Zuschnitt        05SWRT338;105112.01,105112.01;214;3;11,31;2,4203;750
F5;W5;3AP0208250049;Zuschnitt        05WS00487;907649.01,105112.01;180;3;14,9;2,682;600
F5;64D1-3;3AP0208250600;Zuschnitt       K10BR00043;105112.01,15.00;2288;3;3,27;7,4818;
F5;50O5-4;3AP0208250680;Zuschnitt        05WS00208;105112.01,907649.01;2424;3;7,36;17,8406;
F5;62D2-1;3AP0208250690;Zuschnitt        05WS00975;105112.01,907649.01;2865;3;28,09;80,4779;
F5;51O2-3;3AP0208250700;Zuschnitt       K10BR00059;105112.01,15.00;4208;3;4,08;17,1686;
F5;50O4-4;3AP0208250720;Zuschnitt        05GRSW334;105112.01,105112.01;3788;3;11,2;42,4256;
F5;50O6-4;3AP0208250730;Zuschnitt        05GRRT532;105112.01,105112.01;1634;3;16,56;27,059;
